char	codepoint	low_byte	ascii_if_printable
伬	U+4F2C	0x2C	,
伭	U+4F2D	0x2D	-
伮	U+4F2E	0x2E	.
伯	U+4F2F	0x2F	/
估	U+4F30	0x30	0
伱	U+4F31	0x31	1
伲	U+4F32	0x32	2
伳	U+4F33	0x33	3
伴	U+4F34	0x34	4
伵	U+4F35	0x35	5
伶	U+4F36	0x36	6
伷	U+4F37	0x37	7
伸	U+4F38	0x38	8
伹	U+4F39	0x39	9
伺	U+4F3A	0x3A	:
伻	U+4F3B	0x3B	;
似	U+4F3C	0x3C	<
伽	U+4F3D	0x3D	=
伾	U+4F3E	0x3E	>
伿	U+4F3F	0x3F	?
佀	U+4F40	0x40	@
佁	U+4F41	0x41	A
佂	U+4F42	0x42	B
佃	U+4F43	0x43	C
佄	U+4F44	0x44	D
佅	U+4F45	0x45	E
但	U+4F46	0x46	F
佇	U+4F47	0x47	G
佈	U+4F48	0x48	H
佉	U+4F49	0x49	I
佊	U+4F4A	0x4A	J
佋	U+4F4B	0x4B	K
佌	U+4F4C	0x4C	L
位	U+4F4D	0x4D	M
低	U+4F4E	0x4E	N
住	U+4F4F	0x4F	O
佐	U+4F50	0x50	P
佑	U+4F51	0x51	Q
佒	U+4F52	0x52	R
体	U+4F53	0x53	S
佔	U+4F54	0x54	T
何	U+4F55	0x55	U
佖	U+4F56	0x56	V
佗	U+4F57	0x57	W
佘	U+4F58	0x58	X
余	U+4F59	0x59	Y
佚	U+4F5A	0x5A	Z
佛	U+4F5B	0x5B	[
作	U+4F5C	0x5C	\
佝	U+4F5D	0x5D	]
佞	U+4F5E	0x5E	^
佟	U+4F5F	0x5F	_
你	U+4F60	0x60	`
佡	U+4F61	0x61	a
佢	U+4F62	0x62	b
佣	U+4F63	0x63	c
佤	U+4F64	0x64	d
佥	U+4F65	0x65	e
佦	U+4F66	0x66	f
佧	U+4F67	0x67	g
佨	U+4F68	0x68	h
佩	U+4F69	0x69	i
佪	U+4F6A	0x6A	j
佫	U+4F6B	0x6B	k
佬	U+4F6C	0x6C	l
佭	U+4F6D	0x6D	m
佮	U+4F6E	0x6E	n
佯	U+4F6F	0x6F	o
佰	U+4F70	0x70	p
佱	U+4F71	0x71	q
佲	U+4F72	0x72	r
佳	U+4F73	0x73	s
佴	U+4F74	0x74	t
併	U+4F75	0x75	u
佶	U+4F76	0x76	v
佷	U+4F77	0x77	w
佸	U+4F78	0x78	x
佹	U+4F79	0x79	y
佺	U+4F7A	0x7A	z
佻	U+4F7B	0x7B	{
佼	U+4F7C	0x7C	|
佽	U+4F7D	0x7D	}
佾	U+4F7E	0x7E	~
使	U+4F7F	0x7F	
侀	U+4F80	0x80	
侁	U+4F81	0x81	
侂	U+4F82	0x82	
侃	U+4F83	0x83	
侄	U+4F84	0x84	
侅	U+4F85	0x85	
來	U+4F86	0x86	
侇	U+4F87	0x87	
侈	U+4F88	0x88	
侉	U+4F89	0x89	
侊	U+4F8A	0x8A	
例	U+4F8B	0x8B	
侌	U+4F8C	0x8C	
侍	U+4F8D	0x8D	
侎	U+4F8E	0x8E	
侏	U+4F8F	0x8F	
侐	U+4F90	0x90	
侑	U+4F91	0x91	
侒	U+4F92	0x92	
侓	U+4F93	0x93	
侔	U+4F94	0x94	
侕	U+4F95	0x95	
侖	U+4F96	0x96	
侗	U+4F97	0x97	
侘	U+4F98	0x98	
侙	U+4F99	0x99	
侚	U+4F9A	0x9A	
供	U+4F9B	0x9B	
侜	U+4F9C	0x9C	
依	U+4F9D	0x9D	
侞	U+4F9E	0x9E	
侟	U+4F9F	0x9F	
侠	U+4FA0	0xA0	
価	U+4FA1	0xA1	
侢	U+4FA2	0xA2	
侣	U+4FA3	0xA3	
侤	U+4FA4	0xA4	
侥	U+4FA5	0xA5	
侦	U+4FA6	0xA6	
侧	U+4FA7	0xA7	
侨	U+4FA8	0xA8	
侩	U+4FA9	0xA9	
侪	U+4FAA	0xAA	
侫	U+4FAB	0xAB	
侬	U+4FAC	0xAC	
侭	U+4FAD	0xAD	
侮	U+4FAE	0xAE	
侯	U+4FAF	0xAF	
侰	U+4FB0	0xB0	
侱	U+4FB1	0xB1	
侲	U+4FB2	0xB2	
侳	U+4FB3	0xB3	
侴	U+4FB4	0xB4	
侵	U+4FB5	0xB5	
侶	U+4FB6	0xB6	
侷	U+4FB7	0xB7	
侸	U+4FB8	0xB8	
侹	U+4FB9	0xB9	
侺	U+4FBA	0xBA	
侻	U+4FBB	0xBB	
侼	U+4FBC	0xBC	
侽	U+4FBD	0xBD	
侾	U+4FBE	0xBE	
便	U+4FBF	0xBF	
俀	U+4FC0	0xC0	
俁	U+4FC1	0xC1	
係	U+4FC2	0xC2	
促	U+4FC3	0xC3	
俄	U+4FC4	0xC4	
俅	U+4FC5	0xC5	
俆	U+4FC6	0xC6	
俇	U+4FC7	0xC7	
俈	U+4FC8	0xC8	
俉	U+4FC9	0xC9	
俊	U+4FCA	0xCA	
俋	U+4FCB	0xCB	
俌	U+4FCC	0xCC	
俍	U+4FCD	0xCD	
俎	U+4FCE	0xCE	
俏	U+4FCF	0xCF	
俐	U+4FD0	0xD0	
俑	U+4FD1	0xD1	
俒	U+4FD2	0xD2	
俓	U+4FD3	0xD3	
俔	U+4FD4	0xD4	
俕	U+4FD5	0xD5	
俖	U+4FD6	0xD6	
俗	U+4FD7	0xD7	
俘	U+4FD8	0xD8	
俙	U+4FD9	0xD9	
俚	U+4FDA	0xDA	
俛	U+4FDB	0xDB	
俜	U+4FDC	0xDC	
保	U+4FDD	0xDD	
俞	U+4FDE	0xDE	
俟	U+4FDF	0xDF	
俠	U+4FE0	0xE0	
信	U+4FE1	0xE1	
俢	U+4FE2	0xE2	
俣	U+4FE3	0xE3	
