char	codepoint	low_byte	ascii_if_printable
啺	U+557A	0x7A	z
啻	U+557B	0x7B	{
啼	U+557C	0x7C	|
啽	U+557D	0x7D	}
啾	U+557E	0x7E	~
啿	U+557F	0x7F	
喀	U+5580	0x80	
喁	U+5581	0x81	
喂	U+5582	0x82	
喃	U+5583	0x83	
善	U+5584	0x84	
喅	U+5585	0x85	
喆	U+5586	0x86	
喇	U+5587	0x87	
喈	U+5588	0x88	
喉	U+5589	0x89	
喊	U+558A	0x8A	
喋	U+558B	0x8B	
喌	U+558C	0x8C	
喍	U+558D	0x8D	
喎	U+558E	0x8E	
喏	U+558F	0x8F	
喐	U+5590	0x90	
喑	U+5591	0x91	
喒	U+5592	0x92	
喓	U+5593	0x93	
喔	U+5594	0x94	
喕	U+5595	0x95	
喖	U+5596	0x96	
喗	U+5597	0x97	
喘	U+5598	0x98	
喙	U+5599	0x99	
喚	U+559A	0x9A	
喛	U+559B	0x9B	
喜	U+559C	0x9C	
喝	U+559D	0x9D	
喞	U+559E	0x9E	
喟	U+559F	0x9F	
喠	U+55A0	0xA0	
喡	U+55A1	0xA1	
喢	U+55A2	0xA2	
喣	U+55A3	0xA3	
喤	U+55A4	0xA4	
喥	U+55A5	0xA5	
喦	U+55A6	0xA6	
喧	U+55A7	0xA7	
喨	U+55A8	0xA8	
喩	U+55A9	0xA9	
喪	U+55AA	0xAA	
喫	U+55AB	0xAB	
喬	U+55AC	0xAC	
喭	U+55AD	0xAD	
單	U+55AE	0xAE	
喯	U+55AF	0xAF	
喰	U+55B0	0xB0	
喱	U+55B1	0xB1	
喲	U+55B2	0xB2	
喳	U+55B3	0xB3	
喴	U+55B4	0xB4	
喵	U+55B5	0xB5	
営	U+55B6	0xB6	
喷	U+55B7	0xB7	
喸	U+55B8	0xB8	
喹	U+55B9	0xB9	
喺	U+55BA	0xBA	
喻	U+55BB	0xBB	
喼	U+55BC	0xBC	
喽	U+55BD	0xBD	
喾	U+55BE	0xBE	
喿	U+55BF	0xBF	
嗀	U+55C0	0xC0	
嗁	U+55C1	0xC1	
嗂	U+55C2	0xC2	
嗃	U+55C3	0xC3	
嗄	U+55C4	0xC4	
嗅	U+55C5	0xC5	
嗆	U+55C6	0xC6	
嗇	U+55C7	0xC7	
嗈	U+55C8	0xC8	
嗉	U+55C9	0xC9	
嗊	U+55CA	0xCA	
嗋	U+55CB	0xCB	
嗌	U+55CC	0xCC	
嗍	U+55CD	0xCD	
嗎	U+55CE	0xCE	
嗏	U+55CF	0xCF	
嗐	U+55D0	0xD0	
嗑	U+55D1	0xD1	
嗒	U+55D2	0xD2	
嗓	U+55D3	0xD3	
嗔	U+55D4	0xD4	
嗕	U+55D5	0xD5	
嗖	U+55D6	0xD6	
嗗	U+55D7	0xD7	
嗘	U+55D8	0xD8	
嗙	U+55D9	0xD9	
嗚	U+55DA	0xDA	
嗛	U+55DB	0xDB	
嗜	U+55DC	0xDC	
嗝	U+55DD	0xDD	
嗞	U+55DE	0xDE	
嗟	U+55DF	0xDF	
嗠	U+55E0	0xE0	
嗡	U+55E1	0xE1	
嗢	U+55E2	0xE2	
嗣	U+55E3	0xE3	
嗤	U+55E4	0xE4	
嗥	U+55E5	0xE5	
嗦	U+55E6	0xE6	
嗧	U+55E7	0xE7	
嗨	U+55E8	0xE8	
嗩	U+55E9	0xE9	
嗪	U+55EA	0xEA	
嗫	U+55EB	0xEB	
嗬	U+55EC	0xEC	
嗭	U+55ED	0xED	
嗮	U+55EE	0xEE	
嗯	U+55EF	0xEF	
嗰	U+55F0	0xF0	
嗱	U+55F1	0xF1	
嗲	U+55F2	0xF2	
嗳	U+55F3	0xF3	
嗴	U+55F4	0xF4	
嗵	U+55F5	0xF5	
嗶	U+55F6	0xF6	
嗷	U+55F7	0xF7	
嗸	U+55F8	0xF8	
嗹	U+55F9	0xF9	
嗺	U+55FA	0xFA	
嗻	U+55FB	0xFB	
嗼	U+55FC	0xFC	
嗽	U+55FD	0xFD	
嗾	U+55FE	0xFE	
嗿	U+55FF	0xFF	
嘀	U+5600	0x00	
嘁	U+5601	0x01	
嘂	U+5602	0x02	
嘃	U+5603	0x03	
嘄	U+5604	0x04	
嘅	U+5605	0x05	
嘆	U+5606	0x06	
嘇	U+5607	0x07	
嘈	U+5608	0x08	
嘉	U+5609	0x09	
嘊	U+560A	0x0A	
嘋	U+560B	0x0B	
嘌	U+560C	0x0C	
嘍	U+560D	0x0D	
嘎	U+560E	0x0E	
嘏	U+560F	0x0F	
嘐	U+5610	0x10	
嘑	U+5611	0x11	
嘒	U+5612	0x12	
嘓	U+5613	0x13	
嘔	U+5614	0x14	
嘕	U+5615	0x15	
嘖	U+5616	0x16	
嘗	U+5617	0x17	
嘘	U+5618	0x18	
嘙	U+5619	0x19	
嘚	U+561A	0x1A	
嘛	U+561B	0x1B	
嘜	U+561C	0x1C	
嘝	U+561D	0x1D	
嘞	U+561E	0x1E	
嘟	U+561F	0x1F	
嘠	U+5620	0x20	 
嘡	U+5621	0x21	!
嘢	U+5622	0x22	"
嘣	U+5623	0x23	#
嘤	U+5624	0x24	$
嘥	U+5625	0x25	%
嘦	U+5626	0x26	&
嘧	U+5627	0x27	'
嘨	U+5628	0x28	(
嘩	U+5629	0x29	)
嘪	U+562A	0x2A	*
嘫	U+562B	0x2B	+
嘬	U+562C	0x2C	,
嘭	U+562D	0x2D	-
嘮	U+562E	0x2E	.
嘯	U+562F	0x2F	/
嘰	U+5630	0x30	0
嘱	U+5631	0x31	1
嘲	U+5632	0x32	2
嘳	U+5633	0x33	3
嘴	U+5634	0x34	4
嘵	U+5635	0x35	5
嘶	U+5636	0x36	6
嘷	U+5637	0x37	7
嘸	U+5638	0x38	8
嘹	U+5639	0x39	9
嘺	U+563A	0x3A	:
嘻	U+563B	0x3B	;
嘼	U+563C	0x3C	<
嘽	U+563D	0x3D	=
嘾	U+563E	0x3E	>
嘿	U+563F	0x3F	?
噀	U+5640	0x40	@
噁	U+5641	0x41	A
噂	U+5642	0x42	B
噃	U+5643	0x43	C
噄	U+5644	0x44	D
噅	U+5645	0x45	E
噆	U+5646	0x46	F
噇	U+5647	0x47	G
噈	U+5648	0x48	H
噉	U+5649	0x49	I
噊	U+564A	0x4A	J
噋	U+564B	0x4B	K
噌	U+564C	0x4C	L
噍	U+564D	0x4D	M
噎	U+564E	0x4E	N
噏	U+564F	0x4F	O
噐	U+5650	0x50	P
噑	U+5651	0x51	Q
噒	U+5652	0x52	R
噓	U+5653	0x53	S
噔	U+5654	0x54	T
噕	U+5655	0x55	U
噖	U+5656	0x56	V
噗	U+5657	0x57	W
噘	U+5658	0x58	X
噙	U+5659	0x59	Y
噚	U+565A	0x5A	Z
噛	U+565B	0x5B	[
噜	U+565C	0x5C	\
噝	U+565D	0x5D	]
噞	U+565E	0x5E	^
噟	U+565F	0x5F	_
噠	U+5660	0x60	`
噡	U+5661	0x61	a
噢	U+5662	0x62	b
噣	U+5663	0x63	c
噤	U+5664	0x64	d
噥	U+5665	0x65	e
噦	U+5666	0x66	f
噧	U+5667	0x67	g
器	U+5668	0x68	h
噩	U+5669	0x69	i
噪	U+566A	0x6A	j
噫	U+566B	0x6B	k
噬	U+566C	0x6C	l
噭	U+566D	0x6D	m
噮	U+566E	0x6E	n
噯	U+566F	0x6F	o
噰	U+5670	0x70	p
噱	U+5671	0x71	q
噲	U+5672	0x72	r
噳	U+5673	0x73	s
噴	U+5674	0x74	t
噵	U+5675	0x75	u
噶	U+5676	0x76	v
噷	U+5677	0x77	w
噸	U+5678	0x78	x
噹	U+5679	0x79	y
噺	U+567A	0x7A	z
噻	U+567B	0x7B	{
噼	U+567C	0x7C	|
噽	U+567D	0x7D	}
噾	U+567E	0x7E	~
噿	U+567F	0x7F	
嚀	U+5680	0x80	
嚁	U+5681	0x81	
嚂	U+5682	0x82	
嚃	U+5683	0x83	
嚄	U+5684	0x84	
嚅	U+5685	0x85	
嚆	U+5686	0x86	
嚇	U+5687	0x87	
嚈	U+5688	0x88	
嚉	U+5689	0x89	
嚊	U+568A	0x8A	
嚋	U+568B	0x8B	
嚌	U+568C	0x8C	
嚍	U+568D	0x8D	
嚎	U+568E	0x8E	
嚏	U+568F	0x8F	
嚐	U+5690	0x90	
嚑	U+5691	0x91	
嚒	U+5692	0x92	
嚓	U+5693	0x93	
嚔	U+5694	0x94	
嚕	U+5695	0x95	
嚖	U+5696	0x96	
嚗	U+5697	0x97	
嚘	U+5698	0x98	
嚙	U+5699	0x99	
嚚	U+569A	0x9A	
嚛	U+569B	0x9B	
嚜	U+569C	0x9C	
嚝	U+569D	0x9D	
嚞	U+569E	0x9E	
嚟	U+569F	0x9F	
嚠	U+56A0	0xA0	
嚡	U+56A1	0xA1	
嚢	U+56A2	0xA2	
嚣	U+56A3	0xA3	
嚤	U+56A4	0xA4	
嚥	U+56A5	0xA5	
嚦	U+56A6	0xA6	
嚧	U+56A7	0xA7	
嚨	U+56A8	0xA8	
嚩	U+56A9	0xA9	
嚪	U+56AA	0xAA	
嚫	U+56AB	0xAB	
嚬	U+56AC	0xAC	
嚭	U+56AD	0xAD	
嚮	U+56AE	0xAE	
嚯	U+56AF	0xAF	
嚰	U+56B0	0xB0	
嚱	U+56B1	0xB1	
嚲	U+56B2	0xB2	
嚳	U+56B3	0xB3	
嚴	U+56B4	0xB4	
嚵	U+56B5	0xB5	
嚶	U+56B6	0xB6	
嚷	U+56B7	0xB7	
嚸	U+56B8	0xB8	
嚹	U+56B9	0xB9	
嚺	U+56BA	0xBA	
嚻	U+56BB	0xBB	
嚼	U+56BC	0xBC	
嚽	U+56BD	0xBD	
嚾	U+56BE	0xBE	
嚿	U+56BF	0xBF	
囀	U+56C0	0xC0	
囁	U+56C1	0xC1	
囂	U+56C2	0xC2	
囃	U+56C3	0xC3	
囄	U+56C4	0xC4	
囅	U+56C5	0xC5	
囆	U+56C6	0xC6	
囇	U+56C7	0xC7	
囈	U+56C8	0xC8	
囉	U+56C9	0xC9	
囊	U+56CA	0xCA	
囋	U+56CB	0xCB	
囌	U+56CC	0xCC	
囍	U+56CD	0xCD	
囎	U+56CE	0xCE	
囏	U+56CF	0xCF	
囐	U+56D0	0xD0	
囑	U+56D1	0xD1	
囒	U+56D2	0xD2	
囓	U+56D3	0xD3	
囔	U+56D4	0xD4	
囕	U+56D5	0xD5	
囖	U+56D6	0xD6	
囗	U+56D7	0xD7	
囘	U+56D8	0xD8	
囙	U+56D9	0xD9	
囚	U+56DA	0xDA	
四	U+56DB	0xDB	
囜	U+56DC	0xDC	
囝	U+56DD	0xDD	
回	U+56DE	0xDE	
囟	U+56DF	0xDF	
因	U+56E0	0xE0	
囡	U+56E1	0xE1	
团	U+56E2	0xE2	
団	U+56E3	0xE3	
囤	U+56E4	0xE4	
囥	U+56E5	0xE5	
囦	U+56E6	0xE6	
囧	U+56E7	0xE7	
囨	U+56E8	0xE8	
囩	U+56E9	0xE9	
囪	U+56EA	0xEA	
囫	U+56EB	0xEB	
囬	U+56EC	0xEC	
园	U+56ED	0xED	
囮	U+56EE	0xEE	
囯	U+56EF	0xEF	
困	U+56F0	0xF0	
囱	U+56F1	0xF1	
囲	U+56F2	0xF2	
図	U+56F3	0xF3	
围	U+56F4	0xF4	
囵	U+56F5	0xF5	
囶	U+56F6	0xF6	
囷	U+56F7	0xF7	
囸	U+56F8	0xF8	
囹	U+56F9	0xF9	
固	U+56FA	0xFA	
囻	U+56FB	0xFB	
囼	U+56FC	0xFC	
国	U+56FD	0xFD	
图	U+56FE	0xFE	
囿	U+56FF	0xFF	
圀	U+5700	0x00	
圁	U+5701	0x01	
圂	U+5702	0x02	
圃	U+5703	0x03	
圄	U+5704	0x04	
圅	U+5705	0x05	
圆	U+5706	0x06	
圇	U+5707	0x07	
圈	U+5708	0x08	
圉	U+5709	0x09	
圊	U+570A	0x0A	
國	U+570B	0x0B	
圌	U+570C	0x0C	
圍	U+570D	0x0D	
圎	U+570E	0x0E	
圏	U+570F	0x0F	
圐	U+5710	0x10	
圑	U+5711	0x11	
園	U+5712	0x12	
圓	U+5713	0x13	
圔	U+5714	0x14	
圕	U+5715	0x15	
圖	U+5716	0x16	
圗	U+5717	0x17	
團	U+5718	0x18	
圙	U+5719	0x19	
圚	U+571A	0x1A	
圛	U+571B	0x1B	
圜	U+571C	0x1C	
圝	U+571D	0x1D	
圞	U+571E	0x1E	
土	U+571F	0x1F	
圠	U+5720	0x20	 
圡	U+5721	0x21	!
圢	U+5722	0x22	"
圣	U+5723	0x23	#
圤	U+5724	0x24	$
圥	U+5725	0x25	%
圦	U+5726	0x26	&
圧	U+5727	0x27	'
在	U+5728	0x28	(
圩	U+5729	0x29	)
圪	U+572A	0x2A	*
圫	U+572B	0x2B	+
圬	U+572C	0x2C	,
圭	U+572D	0x2D	-
圮	U+572E	0x2E	.
圯	U+572F	0x2F	/
地	U+5730	0x30	0
圱	U+5731	0x31	1
圲	U+5732	0x32	2
圳	U+5733	0x33	3
圴	U+5734	0x34	4
圵	U+5735	0x35	5
圶	U+5736	0x36	6
圷	U+5737	0x37	7
圸	U+5738	0x38	8
圹	U+5739	0x39	9
场	U+573A	0x3A	:
圻	U+573B	0x3B	;
圼	U+573C	0x3C	<
圽	U+573D	0x3D	=
圾	U+573E	0x3E	>
圿	U+573F	0x3F	?
址	U+5740	0x40	@
坁	U+5741	0x41	A
坂	U+5742	0x42	B
坃	U+5743	0x43	C
坄	U+5744	0x44	D
坅	U+5745	0x45	E
坆	U+5746	0x46	F
均	U+5747	0x47	G
坈	U+5748	0x48	H
坉	U+5749	0x49	I
坊	U+574A	0x4A	J
坋	U+574B	0x4B	K
坌	U+574C	0x4C	L
坍	U+574D	0x4D	M
坎	U+574E	0x4E	N
坏	U+574F	0x4F	O
坐	U+5750	0x50	P
坑	U+5751	0x51	Q
坒	U+5752	0x52	R
坓	U+5753	0x53	S
坔	U+5754	0x54	T
坕	U+5755	0x55	U
坖	U+5756	0x56	V
块	U+5757	0x57	W
坘	U+5758	0x58	X
坙	U+5759	0x59	Y
坚	U+575A	0x5A	Z
坛	U+575B	0x5B	[
坜	U+575C	0x5C	\
坝	U+575D	0x5D	]
坞	U+575E	0x5E	^
坟	U+575F	0x5F	_
坠	U+5760	0x60	`
坡	U+5761	0x61	a
坢	U+5762	0x62	b
坣	U+5763	0x63	c
坤	U+5764	0x64	d
坥	U+5765	0x65	e
坦	U+5766	0x66	f
坧	U+5767	0x67	g
坨	U+5768	0x68	h
坩	U+5769	0x69	i
坪	U+576A	0x6A	j
坫	U+576B	0x6B	k
坬	U+576C	0x6C	l
坭	U+576D	0x6D	m
坮	U+576E	0x6E	n
坯	U+576F	0x6F	o
坰	U+5770	0x70	p
坱	U+5771	0x71	q
坲	U+5772	0x72	r
坳	U+5773	0x73	s
坴	U+5774	0x74	t
坵	U+5775	0x75	u
坶	U+5776	0x76	v
坷	U+5777	0x77	w
坸	U+5778	0x78	x
坹	U+5779	0x79	y
坺	U+577A	0x7A	z
坻	U+577B	0x7B	{
坼	U+577C	0x7C	|
坽	U+577D	0x7D	}
坾	U+577E	0x7E	~
坿	U+577F	0x7F	
垀	U+5780	0x80	
垁	U+5781	0x81	
垂	U+5782	0x82	
垃	U+5783	0x83	
垄	U+5784	0x84	
垅	U+5785	0x85	
垆	U+5786	0x86	
垇	U+5787	0x87	
垈	U+5788	0x88	
垉	U+5789	0x89	
垊	U+578A	0x8A	
型	U+578B	0x8B	
垌	U+578C	0x8C	
垍	U+578D	0x8D	
垎	U+578E	0x8E	
垏	U+578F	0x8F	
垐	U+5790	0x90	
垑	U+5791	0x91	
垒	U+5792	0x92	
垓	U+5793	0x93	
垔	U+5794	0x94	
垕	U+5795	0x95	
垖	U+5796	0x96	
垗	U+5797	0x97	
垘	U+5798	0x98	
垙	U+5799	0x99	
垚	U+579A	0x9A	
垛	U+579B	0x9B	
垜	U+579C	0x9C	
垝	U+579D	0x9D	
垞	U+579E	0x9E	
垟	U+579F	0x9F	
垠	U+57A0	0xA0	
垡	U+57A1	0xA1	
垢	U+57A2	0xA2	
垣	U+57A3	0xA3	
垤	U+57A4	0xA4	
垥	U+57A5	0xA5	
垦	U+57A6	0xA6	
垧	U+57A7	0xA7	
垨	U+57A8	0xA8	
垩	U+57A9	0xA9	
垪	U+57AA	0xAA	
垫	U+57AB	0xAB	
垬	U+57AC	0xAC	
垭	U+57AD	0xAD	
垮	U+57AE	0xAE	
垯	U+57AF	0xAF	
垰	U+57B0	0xB0	
垱	U+57B1	0xB1	
垲	U+57B2	0xB2	
垳	U+57B3	0xB3	
垴	U+57B4	0xB4	
垵	U+57B5	0xB5	
垶	U+57B6	0xB6	
垷	U+57B7	0xB7	
垸	U+57B8	0xB8	
垹	U+57B9	0xB9	
垺	U+57BA	0xBA	
垻	U+57BB	0xBB	
垼	U+57BC	0xBC	
垽	U+57BD	0xBD	
垾	U+57BE	0xBE	
垿	U+57BF	0xBF	
埀	U+57C0	0xC0	
埁	U+57C1	0xC1	
埂	U+57C2	0xC2	
埃	U+57C3	0xC3	
埄	U+57C4	0xC4	
埅	U+57C5	0xC5	
埆	U+57C6	0xC6	
埇	U+57C7	0xC7	
埈	U+57C8	0xC8	
埉	U+57C9	0xC9	
埊	U+57CA	0xCA	
埋	U+57CB	0xCB	
埌	U+57CC	0xCC	
埍	U+57CD	0xCD	
城	U+57CE	0xCE	
埏	U+57CF	0xCF	
埐	U+57D0	0xD0	
埑	U+57D1	0xD1	
埒	U+57D2	0xD2	
埓	U+57D3	0xD3	
埔	U+57D4	0xD4	
埕	U+57D5	0xD5	
埖	U+57D6	0xD6	
埗	U+57D7	0xD7	
埘	U+57D8	0xD8	
埙	U+57D9	0xD9	
埚	U+57DA	0xDA	
埛	U+57DB	0xDB	
埜	U+57DC	0xDC	
埝	U+57DD	0xDD	
埞	U+57DE	0xDE	
域	U+57DF	0xDF	
埠	U+57E0	0xE0	
埡	U+57E1	0xE1	
埢	U+57E2	0xE2	
埣	U+57E3	0xE3	
埤	U+57E4	0xE4	
埥	U+57E5	0xE5	
埦	U+57E6	0xE6	
埧	U+57E7	0xE7	
埨	U+57E8	0xE8	
埩	U+57E9	0xE9	
埪	U+57EA	0xEA	
埫	U+57EB	0xEB	
埬	U+57EC	0xEC	
埭	U+57ED	0xED	
埮	U+57EE	0xEE	
埯	U+57EF	0xEF	
埰	U+57F0	0xF0	
埱	U+57F1	0xF1	
埲	U+57F2	0xF2	
埳	U+57F3	0xF3	
埴	U+57F4	0xF4	
埵	U+57F5	0xF5	
埶	U+57F6	0xF6	
執	U+57F7	0xF7	
埸	U+57F8	0xF8	
培	U+57F9	0xF9	
基	U+57FA	0xFA	
埻	U+57FB	0xFB	
埼	U+57FC	0xFC	
埽	U+57FD	0xFD	
埾	U+57FE	0xFE	
埿	U+57FF	0xFF	
堀	U+5800	0x00	
堁	U+5801	0x01	
堂	U+5802	0x02	
堃	U+5803	0x03	
堄	U+5804	0x04	
堅	U+5805	0x05	
堆	U+5806	0x06	
堇	U+5807	0x07	
堈	U+5808	0x08	
堉	U+5809	0x09	
堊	U+580A	0x0A	
堋	U+580B	0x0B	
堌	U+580C	0x0C	
堍	U+580D	0x0D	
堎	U+580E	0x0E	
堏	U+580F	0x0F	
堐	U+5810	0x10	
堑	U+5811	0x11	
堒	U+5812	0x12	
堓	U+5813	0x13	
堔	U+5814	0x14	
堕	U+5815	0x15	
堖	U+5816	0x16	
堗	U+5817	0x17	
堘	U+5818	0x18	
堙	U+5819	0x19	
堚	U+581A	0x1A	
堛	U+581B	0x1B	
堜	U+581C	0x1C	
堝	U+581D	0x1D	
堞	U+581E	0x1E	
堟	U+581F	0x1F	
堠	U+5820	0x20	 
堡	U+5821	0x21	!
堢	U+5822	0x22	"
堣	U+5823	0x23	#
堤	U+5824	0x24	$
堥	U+5825	0x25	%
堦	U+5826	0x26	&
堧	U+5827	0x27	'
堨	U+5828	0x28	(
堩	U+5829	0x29	)
堪	U+582A	0x2A	*
堫	U+582B	0x2B	+
堬	U+582C	0x2C	,
堭	U+582D	0x2D	-
堮	U+582E	0x2E	.
堯	U+582F	0x2F	/
堰	U+5830	0x30	0
報	U+5831	0x31	1
堲	U+5832	0x32	2
堳	U+5833	0x33	3
場	U+5834	0x34	4
堵	U+5835	0x35	5
堶	U+5836	0x36	6
堷	U+5837	0x37	7
堸	U+5838	0x38	8
堹	U+5839	0x39	9
堺	U+583A	0x3A	:
堻	U+583B	0x3B	;
堼	U+583C	0x3C	<
堽	U+583D	0x3D	=
堾	U+583E	0x3E	>
堿	U+583F	0x3F	?
塀	U+5840	0x40	@
塁	U+5841	0x41	A
塂	U+5842	0x42	B
塃	U+5843	0x43	C
塄	U+5844	0x44	D
塅	U+5845	0x45	E
塆	U+5846	0x46	F
塇	U+5847	0x47	G
塈	U+5848	0x48	H
塉	U+5849	0x49	I
塊	U+584A	0x4A	J
塋	U+584B	0x4B	K
塌	U+584C	0x4C	L
塍	U+584D	0x4D	M
塎	U+584E	0x4E	N
塏	U+584F	0x4F	O
塐	U+5850	0x50	P
塑	U+5851	0x51	Q
塒	U+5852	0x52	R
塓	U+5853	0x53	S
塔	U+5854	0x54	T
塕	U+5855	0x55	U
塖	U+5856	0x56	V
塗	U+5857	0x57	W
塘	U+5858	0x58	X
塙	U+5859	0x59	Y
塚	U+585A	0x5A	Z
塛	U+585B	0x5B	[
塜	U+585C	0x5C	\
塝	U+585D	0x5D	]
塞	U+585E	0x5E	^
塟	U+585F	0x5F	_
塠	U+5860	0x60	`
塡	U+5861	0x61	a
塢	U+5862	0x62	b
塣	U+5863	0x63	c
塤	U+5864	0x64	d
塥	U+5865	0x65	e
塦	U+5866	0x66	f
塧	U+5867	0x67	g
塨	U+5868	0x68	h
塩	U+5869	0x69	i
塪	U+586A	0x6A	j
填	U+586B	0x6B	k
塬	U+586C	0x6C	l
塭	U+586D	0x6D	m
塮	U+586E	0x6E	n
塯	U+586F	0x6F	o
塰	U+5870	0x70	p
塱	U+5871	0x71	q
塲	U+5872	0x72	r
塳	U+5873	0x73	s
塴	U+5874	0x74	t
塵	U+5875	0x75	u
塶	U+5876	0x76	v
塷	U+5877	0x77	w
塸	U+5878	0x78	x
塹	U+5879	0x79	y
塺	U+587A	0x7A	z
塻	U+587B	0x7B	{
塼	U+587C	0x7C	|
塽	U+587D	0x7D	}
塾	U+587E	0x7E	~
塿	U+587F	0x7F	
墀	U+5880	0x80	
墁	U+5881	0x81	
墂	U+5882	0x82	
境	U+5883	0x83	
墄	U+5884	0x84	
墅	U+5885	0x85	
墆	U+5886	0x86	
墇	U+5887	0x87	
墈	U+5888	0x88	
墉	U+5889	0x89	
墊	U+588A	0x8A	
墋	U+588B	0x8B	
墌	U+588C	0x8C	
墍	U+588D	0x8D	
墎	U+588E	0x8E	
墏	U+588F	0x8F	
墐	U+5890	0x90	
墑	U+5891	0x91	
墒	U+5892	0x92	
墓	U+5893	0x93	
墔	U+5894	0x94	
墕	U+5895	0x95	
墖	U+5896	0x96	
増	U+5897	0x97	
墘	U+5898	0x98	
墙	U+5899	0x99	
墚	U+589A	0x9A	
墛	U+589B	0x9B	
墜	U+589C	0x9C	
墝	U+589D	0x9D	
增	U+589E	0x9E	
墟	U+589F	0x9F	
墠	U+58A0	0xA0	
墡	U+58A1	0xA1	
墢	U+58A2	0xA2	
墣	U+58A3	0xA3	
墤	U+58A4	0xA4	
墥	U+58A5	0xA5	
墦	U+58A6	0xA6	
墧	U+58A7	0xA7	
墨	U+58A8	0xA8	
墩	U+58A9	0xA9	
墪	U+58AA	0xAA	
墫	U+58AB	0xAB	
墬	U+58AC	0xAC	
墭	U+58AD	0xAD	
墮	U+58AE	0xAE	
墯	U+58AF	0xAF	
墰	U+58B0	0xB0	
墱	U+58B1	0xB1	
墲	U+58B2	0xB2	
墳	U+58B3	0xB3	
墴	U+58B4	0xB4	
墵	U+58B5	0xB5	
墶	U+58B6	0xB6	
墷	U+58B7	0xB7	
墸	U+58B8	0xB8	
墹	U+58B9	0xB9	
墺	U+58BA	0xBA	
墻	U+58BB	0xBB	
墼	U+58BC	0xBC	
墽	U+58BD	0xBD	
墾	U+58BE	0xBE	
墿	U+58BF	0xBF	
壀	U+58C0	0xC0	
壁	U+58C1	0xC1	
壂	U+58C2	0xC2	
壃	U+58C3	0xC3	
壄	U+58C4	0xC4	
壅	U+58C5	0xC5	
壆	U+58C6	0xC6	
壇	U+58C7	0xC7	
壈	U+58C8	0xC8	
壉	U+58C9	0xC9	
壊	U+58CA	0xCA	
壋	U+58CB	0xCB	
壌	U+58CC	0xCC	
壍	U+58CD	0xCD	
壎	U+58CE	0xCE	
壏	U+58CF	0xCF	
壐	U+58D0	0xD0	
壑	U+58D1	0xD1	
壒	U+58D2	0xD2	
壓	U+58D3	0xD3	
壔	U+58D4	0xD4	
壕	U+58D5	0xD5	
壖	U+58D6	0xD6	
壗	U+58D7	0xD7	
壘	U+58D8	0xD8	
壙	U+58D9	0xD9	
壚	U+58DA	0xDA	
壛	U+58DB	0xDB	
壜	U+58DC	0xDC	
壝	U+58DD	0xDD	
壞	U+58DE	0xDE	
壟	U+58DF	0xDF	
壠	U+58E0	0xE0	
壡	U+58E1	0xE1	
壢	U+58E2	0xE2	
壣	U+58E3	0xE3	
壤	U+58E4	0xE4	
壥	U+58E5	0xE5	
壦	U+58E6	0xE6	
壧	U+58E7	0xE7	
壨	U+58E8	0xE8	
壩	U+58E9	0xE9	
壪	U+58EA	0xEA	
士	U+58EB	0xEB	
壬	U+58EC	0xEC	
壭	U+58ED	0xED	
壮	U+58EE	0xEE	
壯	U+58EF	0xEF	
声	U+58F0	0xF0	
壱	U+58F1	0xF1	
売	U+58F2	0xF2	
壳	U+58F3	0xF3	
壴	U+58F4	0xF4	
壵	U+58F5	0xF5	
壶	U+58F6	0xF6	
壷	U+58F7	0xF7	
壸	U+58F8	0xF8	
壹	U+58F9	0xF9	
壺	U+58FA	0xFA	
壻	U+58FB	0xFB	
壼	U+58FC	0xFC	
壽	U+58FD	0xFD	
壾	U+58FE	0xFE	
壿	U+58FF	0xFF	
夀	U+5900	0x00	
夁	U+5901	0x01	
夂	U+5902	0x02	
夃	U+5903	0x03	
处	U+5904	0x04	
夅	U+5905	0x05	
夆	U+5906	0x06	
备	U+5907	0x07	
夈	U+5908	0x08	
変	U+5909	0x09	
夊	U+590A	0x0A	
夋	U+590B	0x0B	
夌	U+590C	0x0C	
复	U+590D	0x0D	
夎	U+590E	0x0E	
夏	U+590F	0x0F	
夐	U+5910	0x10	
夑	U+5911	0x11	
夒	U+5912	0x12	
夓	U+5913	0x13	
夔	U+5914	0x14	
夕	U+5915	0x15	
外	U+5916	0x16	
夗	U+5917	0x17	
夘	U+5918	0x18	
夙	U+5919	0x19	
多	U+591A	0x1A	
夛	U+591B	0x1B	
夜	U+591C	0x1C	
夝	U+591D	0x1D	
夞	U+591E	0x1E	
够	U+591F	0x1F	
夠	U+5920	0x20	 
夡	U+5921	0x21	!
夢	U+5922	0x22	"
夣	U+5923	0x23	#
夤	U+5924	0x24	$
夥	U+5925	0x25	%
夦	U+5926	0x26	&
大	U+5927	0x27	'
夨	U+5928	0x28	(
天	U+5929	0x29	)
太	U+592A	0x2A	*
夫	U+592B	0x2B	+
夬	U+592C	0x2C	,
夭	U+592D	0x2D	-
央	U+592E	0x2E	.
夯	U+592F	0x2F	/
夰	U+5930	0x30	0
失	U+5931	0x31	1
夲	U+5932	0x32	2
夳	U+5933	0x33	3
头	U+5934	0x34	4
夵	U+5935	0x35	5
夶	U+5936	0x36	6
夷	U+5937	0x37	7
夸	U+5938	0x38	8
夹	U+5939	0x39	9
夺	U+593A	0x3A	:
夻	U+593B	0x3B	;
夼	U+593C	0x3C	<
